Player;Team;Match;Position;Minutes Played;Date;Physicals Quality Check;Distance P90;Running Distance P90;HSR Distance P90;Sprinting Distance P90;HI Distance P90;Count HSR P90;Count Sprint P90;Count HI P90;Count Medium Acceleration P90;Count High Acceleration P90;Count Medium Deceleration P90;Count High Deceleration P90;PSV-99
Malick Martin Fofana;KAA Gent;KAA Gent v Breidablik UBK;LF;93.75;26/10/2023;Passed;10816.3;1606.1;643.2;217.9;861.1;56.6;15.4;72;101.8;2.9;100.8;11.5;27.6
Omri Gandelman;KAA Gent;KAA Gent v Breidablik UBK;RM;93.75;26/10/2023;Passed;11716.8;2070.7;875.5;161.3;1036.8;74.9;6.7;81.6;108.5;2.9;92.2;22.1;26.9
Tsuyoshi Watanabe;KAA Gent;KAA Gent v Breidablik UBK;CB;93.75;26/10/2023;Passed;9588.5;1363.2;407;131.5;538.6;41.3;7.7;49;100.8;10.6;88.3;13.4;28.9
Archie Brown;KAA Gent;KAA Gent v Breidablik UBK;LW;93.75;26/10/2023;Passed;10458.2;1507.2;706.6;425.3;1131.8;60.5;23;83.5;111.4;9.6;96;20.2;31.8
Tarik Tissoudali;KAA Gent;KAA Gent v Breidablik UBK;RF;93.75;26/10/2023;Passed;10648.3;1530.2;671;260.2;931.2;63.4;14.4;77.8;95;5.8;81.6;21.1;29.6
Brian Agbor;KAA Gent;KAA Gent v Breidablik UBK;RCB;74.97;26/10/2023;Passed;10151.3;1453.8;486.2;79.2;565.4;49.2;4.8;54;109.2;4.8;87.6;16.8;26.3
Malick Martin Fofana;KAA Gent;Royal Antwerp FC v KAA Gent;LF;97.79;27/09/2023;Passed;11388.3;1502;543;188.7;731.7;47.9;13.8;61.7;86.5;2.8;89.3;21.2;28.2
Tsuyoshi Watanabe;KAA Gent;Royal Antwerp FC v KAA Gent;CB;97.79;27/09/2023;Passed;9134.4;824.6;159.2;37.7;197;19.3;2.8;22.1;71.8;1.8;69;9.2;30.7
Andrew Hjulsager;KAA Gent;Royal Antwerp FC v KAA Gent;RF;81.39;27/09/2023;Passed;12160.3;2137.5;858.1;307.4;1165.5;75.2;18.8;94;96.2;3.3;96.2;23.2;28.3
Hugo Cuypers;KAA Gent;Royal Antwerp FC v KAA Gent;CF;81.39;27/09/2023;Passed;12141.5;2097.7;736.5;193.5;930;63;12.2;75.2;95.1;15.5;91.8;22.1;28
