Player;Team;Match;Position;Minutes Played;Date;Physicals;Distance P90;Running Distance P90;HSR Distance P90;Sprinting Distance P90;HI Distance P90;Count HSR P90;Count Sprint P90;Count HI P90;Count Medium Acceleration P90;Count High Acceleration P90;Count Medium Deceleration P90;Count High Deceleration P90;PSV-99
Tsuyoshi Watanabe;Kaa Gent;KSV Cercle Brugge v KAA Gent;RCB;100.62;22/10/2023;Passed;9388.2;1383.7;453.5;53.7;507.2;38.5;2.7;41.1;77.8;4.5;63.5;11.6;25.1
Andrew Hjulsager;Kaa Gent;KSV Cercle Brugge v KAA Gent;AM;81.79;22/10/2023;Passed;10937.8;1891.6;713;194.8;907.8;62.7;9.9;72.6;92.4;4.4;82.5;20.9;29.6
Hugo Cuypers;Kaa Gent;KSV Cercle Brugge v KAA Gent;CF;100.62;22/10/2023;Passed;9130.6;1210.2;525;227.2;752.2;51;9.8;60.8;73.3;6.3;58.1;22.4;30.2
Hyun-Seok Hong;Kaa Gent;KSV Cercle Brugge v KAA Gent;LW;63.22;22/10/2023;Passed;11387.4;2421.5;549.5;78.3;627.8;55.5;5.7;61.2;94;7.1;86.8;24.2;25.4
Gift Emmanuel Orban;Kaa Gent;KSV Cercle Brugge v KAA Gent;CF;63.22;22/10/2023;Passed;9291.8;1237.1;639.2;448.4;1087.6;44.1;24.2;68.3;86.8;14.2;69.8;21.4;30.8
Archie Brown;Kaa Gent;KSV Cercle Brugge v KAA Gent;LCB;63.22;22/10/2023;Passed;10743.9;1484.8;741.7;300.4;1042.1;62.6;22.8;85.4;99.7;11.4;85.4;28.5;29.5
Sven Kums;Kaa Gent;KSV Cercle Brugge v KAA Gent;RM;100.62;22/10/2023;Passed;10152.1;1831.8;424.9;25.9;450.8;42;2.7;44.7;89.4;3.6;86.8;10.7;24.4
Jordan Torunarigha;Kaa Gent;KSV Cercle Brugge v KAA Gent;CB;100.62;22/10/2023;Passed;8998.2;1053.7;339;153.8;492.8;32.2;7.2;39.4;70.7;5.4;59.9;12.5;28.8
Matisse Samoise;Kaa Gent;KSV Cercle Brugge v KAA Gent;RW;100.62;22/10/2023;Passed;10901.6;1868.5;702.1;186;888.2;59.9;14.3;74.2;91.2;7.2;76;14.3;27.2
Julien De Sart;Kaa Gent;KSV Cercle Brugge v KAA Gent;LM;63.22;22/10/2023;Passed;10941.8;1627.2;512.5;72.6;585.1;42.7;5.7;48.4;84;5.7;79.7;18.5;25.8
Malick Martin Fofana;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;LW;69.71;5/10/2023;Passed;10603.5;1593.2;686.8;245.3;932.1;58.1;11.6;69.7;133;3.9;91.7;25.8;29.6
Omri Gandelman;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;AM;99.08;5/10/2023;Passed;11614.3;2139.2;992.8;239.8;1232.6;72.7;12.7;85.4;109;2.7;96.3;26.3;27.6
Tsuyoshi Watanabe;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;CB;99.08;5/10/2023;Passed;9801.2;1602.3;502.3;166.2;668.6;40;10;50;99;4.5;79;13.6;29.1
Gift Emmanuel Orban;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;CF;87.63;5/10/2023;Passed;10003.4;1325.9;727.1;434.4;1161.6;61.6;24.6;86.3;100.7;5.1;84.2;20.5;31.6
Archie Brown;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;LCB;99.08;5/10/2023;Passed;9985.6;1389.8;553.2;234.4;787.5;46.3;12.7;59;97.2;4.5;64.5;13.6;29.8
Sven Kums;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;RM;97.31;5/10/2023;Passed;10773;1788.7;596.5;78.6;675.2;52.7;3.7;56.4;99.9;4.6;88.8;7.4;25.9
Tarik Tissoudali;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;CF;99.08;5/10/2023;Passed;10329.8;1475.2;625.9;286.1;912;61.8;11.8;73.6;100.8;2.7;85.4;20;30.3
Ismaël Kandouss;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;RCB;99.08;5/10/2023;Passed;10105.5;1442.5;366.1;115.4;481.4;33.6;4.5;38.2;90.8;0.9;72.7;11.8;28.3
Matisse Samoise;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;RW;99.08;5/10/2023;Passed;11780.5;2165.5;809.3;277;1086.4;75.4;14.5;89.9;110.8;3.6;99.9;17.3;28.3
Julien De Sart;Kaa Gent;KAA Gent v Maccabi Tel Aviv FC;LM;99.08;5/10/2023;Passed;11000.2;1689.5;579.5;187.1;766.7;50.9;9.1;60;99;2.7;90.8;9.1;28.6
Malick Martin Fofana;Kaa Gent;KAA Gent v KAS Eupen;LW;84.72;24/09/2023;Passed;11113;1928.1;637.4;120;757.4;48.9;8.5;57.4;99.9;4.2;80.7;15.9;26.8
Tsuyoshi Watanabe;Kaa Gent;KAA Gent v KAS Eupen;CB;103.24;24/09/2023;Passed;9213.6;898.8;247.6;49.7;297.3;23.5;3.5;27;83.7;4.4;69.7;6.1;26.9
Hugo Cuypers;Kaa Gent;KAA Gent v KAS Eupen;CF;84.72;24/09/2023;Passed;10966.4;1768.8;657.6;123.2;780.8;60.6;13.8;74.4;90.3;5.3;85;19.1;28.3
Archie Brown;Kaa Gent;KAA Gent v KAS Eupen;LCB;103.24;24/09/2023;Passed;10291.9;1408.8;451.6;211.8;663.4;39.2;9.6;48.8;81.9;5.2;75;11.3;32.1
Ismaël Kandouss;Kaa Gent;KAA Gent v KAS Eupen;RCB;103.24;24/09/2023;Passed;9801.1;1054.8;259.8;41.8;301.6;29.6;5.2;34.9;81.9;4.4;80.2;9.6;25.9
Matisse Samoise;Kaa Gent;KAA Gent v KAS Eupen;RW;103.24;24/09/2023;Passed;11522;1849;735.8;205.7;941.5;59.3;11.3;70.6;102;7.8;84.6;15.7;28.1
Julien De Sart;Kaa Gent;KAA Gent v KAS Eupen;RM;103.24;24/09/2023;Passed;11475.8;1635.4;503.9;170;673.9;33.1;7.8;41;76.7;3.5;91.5;12.2;28.1
Malick Martin Fofana;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;CF;104.07;1/10/2023;Passed;9528.4;1206.4;436.7;96;532.7;39.8;6.1;45.8;83.9;1.7;77.8;13;27.7
Tsuyoshi Watanabe;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;CB;104.07;1/10/2023;Passed;8907.5;928.8;291.4;79.6;371;24.2;5.2;29.4;87.3;4.3;64.9;9.5;26.6
Andrew Hjulsager;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;AM;66.12;1/10/2023;Passed;10988.7;1980.5;549.9;110.3;660.2;44.9;6.8;51.7;98;6.8;87.1;20.4;29
Archie Brown;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;LW;104.07;1/10/2023;Passed;9576.8;1115.6;483.4;242.1;725.6;37.2;12.1;49.3;89.1;8.6;77.8;16.4;30.9
Sven Kums;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;RM;104.07;1/10/2023;Passed;10290.3;1360.3;339.9;29.4;369.3;26.8;1.7;28.5;93.4;4.3;89.1;8.6;24.9
Tarik Tissoudali;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;CF;74.45;1/10/2023;Passed;10166.6;1292.3;502.9;188.6;691.5;45.9;14.5;60.4;99.1;2.4;84.6;14.5;27.3
Ismaël Kandouss;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;RCB;104.07;1/10/2023;Passed;9230;844;249.9;52.8;302.7;19.9;1.7;21.6;88.2;4.3;70;11.2;28.1
Jordan Torunarigha;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;LCB;104.07;1/10/2023;Passed;8584;845.8;270.7;120.2;390.9;18.2;5.2;23.3;79.6;1.7;69.2;7.8;28.9
Matisse Samoise;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;RW;74.45;1/10/2023;Passed;10260.8;1378.1;309.5;53.2;362.7;35.1;3.6;38.7;105.2;7.3;99.1;13.3;25.5
Julien De Sart;Kaa Gent;Racing White Daring Molenbeek v KAA Gent;LM;96.68;1/10/2023;Passed;10619.8;1208.3;310.9;31.7;342.6;27.9;1.9;29.8;74.5;4.7;92.2;6.5;24.8
Tsuyoshi Watanabe;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;CB;103.58;17/09/2023;Passed;8272.7;1044.4;363.2;101.7;464.9;28.7;7.8;36.5;80.8;5.2;64.3;9.6;27.8
Hugo Cuypers;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;CF;103.58;17/09/2023;Passed;9735.1;1557.1;754.2;218.1;972.3;66.9;17.4;84.3;101.7;14.8;79.1;24.3;27.5
Andrew Hjulsager;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;AM;73.1;17/09/2023;Passed;10465.1;1555;781.8;254.9;1036.7;61.6;19.7;81.3;115.7;3.7;81.3;18.5;27.9
Gift Emmanuel Orban;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;CF;73.1;17/09/2023;Passed;8965.5;1205.3;561.4;256.1;817.5;54.2;16;70.2;109.6;18.5;83.7;17.2;29.7
Archie Brown;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;LW;73.1;17/09/2023;Passed;9728.9;1233.7;677.2;371.8;1049;56.6;20.9;77.6;109.6;9.8;70.2;14.8;31.2
Sven Kums;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;LM;103.58;17/09/2023;Passed;9653.4;1601.4;416.2;29.5;445.7;39.1;3.5;42.6;99.9;2.6;81.7;7;24.9
Ismaël Kandouss;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;RCB;103.58;17/09/2023;Passed;9330.2;1312;425.8;125.1;550.9;40;7;46.9;79.9;5.2;65.2;9.6;29.4
Jordan Torunarigha;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;LCB;103.58;17/09/2023;Passed;8254.5;891.5;403.2;194.6;597.8;32.1;7.8;40;80.8;8.7;67.8;9.6;31.5
Matisse Samoise;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;RW;103.58;17/09/2023;Passed;10914.2;1918.5;792.4;318;1110.4;59.1;13.9;73;99.9;4.3;84.3;13;28.7
Julien De Sart;Kaa Gent;Oud-Heverlee Leuven v KAA Gent;RM;85.91;17/09/2023;Passed;9806.7;1158.7;428.5;99.5;528;37.7;6.3;44;82.8;4.2;81.7;11.5;28.1
Pieter Gerkens;Kaa Gent;FC Zorya Lugansk v KAA Gent;AM;61.22;21/09/2023;Passed;11535.9;1928.8;626.3;185.2;811.5;61.7;8.8;70.6;116.1;7.4;88.2;11.8;28.1
Tsuyoshi Watanabe;Kaa Gent;FC Zorya Lugansk v KAA Gent;CB;94.62;21/09/2023;Passed;9445.1;1175.6;482.2;276.8;759;35.2;13.3;48.5;84.7;5.7;66.6;13.3;30.8
